simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
midres,subhalos,0.47,1.08047E+11,5.69E-06,7.62E-08
midres,subhalos,0.47,1.21348E+11,6.62E-06,8.22E-08
midres,subhalos,0.47,1.36287E+11,7.54E-06,8.77E-08
midres,subhalos,0.47,1.53064E+11,8.74E-06,9.45E-08
midres,subhalos,0.47,1.71907E+11,1.00E-05,1.01E-07
midres,subhalos,0.47,1.9307E+11,1.19E-05,1.10E-07
midres,subhalos,0.47,2.16838E+11,1.40E-05,1.19E-07
midres,subhalos,0.47,2.43531E+11,1.65E-05,1.30E-07
midres,subhalos,0.47,2.73511E+11,0.000808414,9.09E-07
midres,subhalos,0.47,3.07181E+11,0.000928554,9.74E-07
midres,subhalos,0.47,3.44997E+11,0.001171329,1.09E-06
midres,subhalos,0.47,3.87468E+11,0.001537907,1.25E-06
midres,subhalos,0.47,4.35167E+11,0.002522952,1.61E-06
midres,subhalos,0.47,4.88737E+11,0.008735991,2.99E-06
midres,subhalos,0.47,5.48903E+11,0.011495786,3.43E-06
midres,subhalos,0.47,6.16476E+11,0.010090524,3.21E-06
midres,subhalos,0.47,6.92367E+11,0.009403895,3.10E-06
midres,subhalos,0.47,7.776E+11,0.008337933,2.92E-06
midres,subhalos,0.47,8.73326E+11,0.007699249,2.80E-06
midres,subhalos,0.47,9.80837E+11,0.006966742,2.67E-06
midres,subhalos,0.47,1.10158E+12,0.006105164,2.50E-06
midres,subhalos,0.47,1.23719E+12,0.005505944,2.37E-06
midres,subhalos,0.47,1.3895E+12,0.005008031,2.26E-06
midres,subhalos,0.47,1.56055E+12,0.004443621,2.13E-06
midres,subhalos,0.47,1.75266E+12,0.004023379,2.03E-06
midres,subhalos,0.47,1.96842E+12,0.003626969,1.92E-06
midres,subhalos,0.47,2.21074E+12,0.003316234,1.84E-06
midres,subhalos,0.47,2.48289E+12,0.003023903,1.76E-06
midres,subhalos,0.47,2.78855E+12,0.00272095,1.67E-06
midres,subhalos,0.47,3.13183E+12,0.002459384,1.58E-06
midres,subhalos,0.47,3.51737E+12,0.002207493,1.50E-06
midres,subhalos,0.47,3.95038E+12,0.001976858,1.42E-06
midres,subhalos,0.47,4.43669E+12,0.001759471,1.34E-06
midres,subhalos,0.47,4.98286E+12,0.001561126,1.26E-06
midres,subhalos,0.47,5.59628E+12,0.001384501,1.19E-06
midres,subhalos,0.47,6.2852E+12,0.001220999,1.12E-06
midres,subhalos,0.47,7.05894E+12,0.001078435,1.05E-06
midres,subhalos,0.47,7.92793E+12,0.000949301,9.85E-07
midres,subhalos,0.47,8.90389E+12,0.000838053,9.25E-07
midres,subhalos,0.47,1E+13,0.000737116,8.68E-07
midres,subhalos,0.47,1.1231E+13,0.000647626,8.13E-07
midres,subhalos,0.47,1.26136E+13,0.00056837,7.62E-07
midres,subhalos,0.47,1.41664E+13,0.000494618,7.11E-07
midres,subhalos,0.47,1.59104E+13,0.000426555,6.60E-07
midres,subhalos,0.47,1.7869E+13,0.000368557,6.13E-07
midres,subhalos,0.47,2.00688E+13,0.000316146,5.68E-07
midres,subhalos,0.47,2.25393E+13,0.000270885,5.26E-07
midres,subhalos,0.47,2.5314E+13,0.000231154,4.86E-07
midres,subhalos,0.47,2.84303E+13,0.000196954,4.48E-07
midres,subhalos,0.47,3.19302E+13,0.000167445,4.14E-07
midres,subhalos,0.47,3.5861E+13,0.00014095,3.79E-07
midres,subhalos,0.47,4.02756E+13,0.00011958,3.49E-07
midres,subhalos,0.47,4.52337E+13,0.000100664,3.21E-07
midres,subhalos,0.47,5.08022E+13,8.51E-05,2.95E-07
midres,subhalos,0.47,5.70562E+13,7.09E-05,2.69E-07
midres,subhalos,0.47,6.408E+13,5.92E-05,2.46E-07
midres,subhalos,0.47,7.19686E+13,4.90E-05,2.24E-07
midres,subhalos,0.47,8.08282E+13,4.05E-05,2.03E-07
